name	price	unit	lon	lat	region	adress
品秀星图	23000	元/㎡	113.64394464421	23.142683298315	增城	广州地铁13号线官湖车辆段（官湖站B出口）
世茂天越	120000	元/㎡	113.32031164059	23.124374275513	越秀	五羊邨地铁站A出口（往南前行100米）
新世界云逸	55000	元/㎡	113.29754440327	23.243500740657	白云	白云新城2、3、14号线嘉禾望岗地铁枢纽站A出口300米
金科集美御峰	23000	元/㎡	113.50107061658	22.82581708353	南沙	黄阁新城麒麟中小学旁或导航【集美御峰】直达
中国铁建国际公馆	21000	元/㎡	113.63697851243	23.286259912887	增城	广州市地铁21号线坑贝站A出口西侧
中国铁建海语熙岸	26000	元/㎡	113.52501742611	22.794496350024	南沙	凤凰大道与黄阁南路交汇处
万科金域世家	24500	元/㎡	113.18966406646	23.031109504112	广州周边	南海区桂城街道聚龙路9号
金融街花溪小镇	13500	元/㎡起	113.417817	23.43523	花都	花都大道东228号
凯粤湾	43800	元/㎡起	113.219014	23.119481	荔湾	白鹅潭•地铁5&6号线交汇•珠江大桥逸彩路
招商臻园	24000	元/㎡起	113.62195282909	23.155288374008	增城	广园快速荔新出口万达旁
品秀·星樾	37000	元/㎡	113.512595	23.176729	黄埔	萝岗开创大道
新力荔红花园	209	万元/套	113.19279166399	23.390995169656	花都	北站新城荔红北路8号
西关海·云墅198	68000	元/㎡	113.235575	23.135242	荔湾	南岸路23号
兰亭盛荟	50000	元/㎡	113.413882	23.117811	天河	明镜路与桃园西路交汇
康大龙祥汇	35000	元/㎡	113.56471288851	23.320994629695	黄埔	南起步区九龙大道西侧
首开龙湖·天奕	90000	元/㎡起	113.2821378952	23.204743832376	白云	云城西路
广州龙湖·揽境	29800	元/㎡起	113.598629	23.178882	黄埔	永顺大道南
龙湖首开云峰原著	385	万元/套起	113.54385789427	23.171646957009	黄埔	华南快速转广深高速，走开创大道转开源大道1km
时代龙湖云来	36500	元/㎡	113.29503531713	23.323202914332	白云	人和镇江人三路南
万科金色里程	16000	元/㎡	113.72656205664	23.199205478273	增城	广州新塘东.济广高速与荔新公路交汇处
广佛里智慧慢城	15000	元/㎡起	113.12129059615	23.272671414743	广州周边	南海里水幸福大道
万科幸福誉	24000	元/㎡	113.546758	23.337202	黄埔	黄埔•中新知识城•地铁何棠下站（麦当劳旁）
广州增城万科城	19800	元/㎡	113.617268	23.243579	增城	新新大道北
中国铁建花语岭南	48000	元/㎡起	113.35234489968	22.978592813848	番禺	万博南兴学路旁
朗逸雅居	10800	元/㎡起	113.182538	23.467142	花都	宝峰南路15号
香江天赋	22618	元/㎡起	113.55795556609	23.141549000174	增城	陈家林路159号
金科博翠明珠	36000	元/㎡起	113.51575521518	22.771023986869	南沙	灵山岛尖（江灵南路与文字路交汇处）
华远·雲和墅	90000	元/㎡	113.320547	23.249794	白云	白云大道北大一大街23号
龙光玖龙湖	7500	元/㎡起	112.8400512763	23.313817003072	广州周边	肇庆市高新区大旺大道40号
广地花园·观澜	38000	元/㎡起	113.3445244045	23.025076392727	番禺	华南快速出口（广地花园）
